magic=50534152 pos=258 size=512 rec_size=64
   59 dt=331      HASH_ABORT           key=00000000 alg=00000000 op=0  o@2f01006c:4 | st=0
   60 dt=129      HASH_SETUP           key=00000000 alg=02000009 op=0  o@2f01006c:4 | st=0
   61 dt=269      HASH_ABORT           key=00000000 alg=00000000 op=0  o@2f010070:4 | st=0
   62 dt=237      HASH_SETUP           key=00000000 alg=0200000a op=0  o@2f010070:4 | st=0
   63 dt=262      GENERATE_RANDOM      key=00000000 alg=00000000 op=0  o@2f0100b0:32 | st=0
   64 dt=183      GENERATE_RANDOM      key=00000000 alg=00000000 op=0  o@2f00fe34:32 | st=0
   65 dt=265      GENERATE_KEY         key=00000000 alg=00000000 op=0 i@2f01b958:28 o@2f00ffc4:4 | st=0
   66 dt=329      EXPORT_PUBLIC_KEY    key=40000000 alg=00000000 op=0  o@2f00f50b:2166 | st=0
   67 dt=901      HASH_UPDATE          key=00000000 alg=00000000 op=1 i@2f01b9dc:4  | st=0
   68 dt=117      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f01b9dc:4  | st=0
   69 dt=237      HASH_UPDATE          key=00000000 alg=00000000 op=1 i@2f00f485:260  | st=0
   70 dt=148      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f00f485:260  | st=0
   71 dt=271      HASH_CLONE           key=00000000 alg=00000000 op=1 i@2f01b964:4 o@2f01b964:4 | st=0
   72 dt=282      HASH_FINISH          key=00000000 alg=00000000 op=3  o@2f01b964:4 o@2f01b998:48 | st=0
   73 dt=339      KD_SETUP             key=00000000 alg=08000409 op=0  o@2f01b864:4 | st=0
   74 dt=295      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b868:32  | st=0
   75 dt=161      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f00eac8:16  | st=0
   76 dt=317      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b938:32 | st=0
   77 dt=257      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b864:4 | st=0
   78 dt=377      HASH_COMPUTE         key=00000000 alg=02000009 op=0  o@2f01b898:32 | st=0
   79 dt=287      KD_SETUP             key=00000000 alg=08000509 op=0  o@2f01b720:4 | st=0
   80 dt=256      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b938:32  | st=0
   81 dt=255      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b724:52  | st=0
   82 dt=256      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b908:32 | st=0
   83 dt=334      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b720:4 | st=0
   84 dt=296      KD_SETUP             key=00000000 alg=08000509 op=0  o@2f01b700:4 | st=0
   85 dt=161      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b908:32  | st=0
   86 dt=142      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b704:18  | st=0
   87 dt=142      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01b898:32 | st=0
   88 dt=229      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b700:4 | st=0
   89 dt=295      IMPORT_KEY           key=00000000 alg=00000000 op=0 i@2f01b87c:28 i@2f01b898:32 o@2f01b878:4 | st=0
   90 dt=155      MAC_COMPUTE          key=40000001 alg=03800009 op=0 i@2f01b998:32 o@2f00f58c:32 | st=0
   91 dt=261      DESTROY_KEY          key=40000001 alg=00000000 op=0   | st=0
   92 dt=139      HASH_UPDATE          key=00000000 alg=00000000 op=1 i@2f00f589:35  | st=0
   93 dt=136      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f00f589:35  | st=0
   94 dt=51578    HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f01b9dc:4  | st=0
   95 dt=129      HASH_UPDATE          key=00000000 alg=00000000 op=2 i@2f00eb35:151  | st=0
   96 dt=268      KD_SETUP             key=00000000 alg=0800040a op=0  o@2f01b94c:4 | st=0
   97 dt=253      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b950:48  | st=0
   98 dt=275      KD_INPUT_BYTES       key=00000000 alg=00000000 op=3 i@2f01b980:48  | st=0
   99 dt=290      KD_OUTPUT_BYTES      key=00000000 alg=00000000 op=3  o@2f01014c:48 | st=0
  100 dt=187      KD_ABORT             key=00000000 alg=00000000 op=3  o@2f01b94c:4 | st=0
  101 dt=277      GET_KEY_ATTRIBUTES   key=40000000 alg=00000000 op=0  o@2f01b968:28 | st=0
